track_name,artist,album,release_date,duration_ms,popularity,spotify_url
Anti-Hero - Acoustic Version,Taylor Swift,Anti-Hero (Acoustic Version),2022-11-25,196473,57,https://open.spotify.com/track/2d3d9xZutJjmUpntiyHt3F
Anti-Hero (feat. Bleachers),Taylor Swift,Anti-Hero (Remixes),2022-11-11,228397,37,https://open.spotify.com/track/16M9Rxid0nXhVmme7lzVwN
Anti-Hero - Roosevelt Remix,Taylor Swift,Anti-Hero (Remixes),2022-11-11,299203,39,https://open.spotify.com/track/4XiypEn8iKbeP1TbTqdfk5
Anti-Hero - Kungs Remix,Taylor Swift,Anti-Hero (Remixes),2022-11-11,194612,58,https://open.spotify.com/track/2oWpe2L8ypC080BxpDVuTY
Anti-Hero - Jayda G Remix,Taylor Swift,Anti-Hero (Remixes),2022-11-11,215696,38,https://open.spotify.com/track/4YrpqEBNuz7IMsZtUP6bNQ
Anti-Hero (feat. Bleachers),Taylor Swift,Anti-Hero (feat. Bleachers),2022-11-08,228397,52,https://open.spotify.com/track/0j0gJqxitjhmmkrW56dtQH
Maroon,Taylor Swift,Midnights,2022-10-21,218270,72,https://open.spotify.com/track/3eX0NZfLtGzoLUxPNvRfqm
Snow On The Beach (feat. Lana Del Rey),Taylor Swift,Midnights,2022-10-21,256124,68,https://open.spotify.com/track/1wtOxkiel43cVs0Yux5Q4h
"You're On Your Own, Kid",Taylor Swift,Midnights,2022-10-21,194206,77,https://open.spotify.com/track/4D7BCuvgdJlYvlX5WlN54t
Midnight Rain,Taylor Swift,Midnights,2022-10-21,174782,75,https://open.spotify.com/track/3rWDp9tBPQR9z6U5YyRSK4
Question...?,Taylor Swift,Midnights,2022-10-21,210556,65,https://open.spotify.com/track/0heeNYlwOGuUSe7TgUD27B
Vigilante Shit,Taylor Swift,Midnights,2022-10-21,164801,71,https://open.spotify.com/track/1xwAWUI6Dj0WGC3KiUPN0O
Bejeweled,Taylor Swift,Midnights,2022-10-21,194165,74,https://open.spotify.com/track/3qoftcUZaUOncvIYjFSPdE
Labyrinth,Taylor Swift,Midnights,2022-10-21,247962,71,https://open.spotify.com/track/0A1JLUlkZkp2EFrosoNQi0
Sweet Nothing,Taylor Swift,Midnights,2022-10-21,188496,68,https://open.spotify.com/track/0wavGRldH0AWyu2zvTz8zb
Mastermind,Taylor Swift,Midnights,2022-10-21,191039,70,https://open.spotify.com/track/7FmYn9e7KHMXcxqGSj9LjH
The Great War,Taylor Swift,Midnights (3am Edition),2022-10-22,240355,68,https://open.spotify.com/track/3UMrglJeju5yWyYIW6o99b
Bigger Than The Whole Sky,Taylor Swift,Midnights (3am Edition),2022-10-22,218502,65,https://open.spotify.com/track/0BiqmkasE5FdrChwKfVp8X
Paris,Taylor Swift,Midnights (3am Edition),2022-10-22,196258,64,https://open.spotify.com/track/7712gjoih4QoDbXpljEk21
High Infidelity,Taylor Swift,Midnights (3am Edition),2022-10-22,231475,63,https://open.spotify.com/track/5kiZGSxgqPdv6rbqL9THdd
Glitch,Taylor Swift,Midnights (3am Edition),2022-10-22,148781,61,https://open.spotify.com/track/6wAFvJPpTZVirBKGZ4EnMW
"Would've, Could've, Should've",Taylor Swift,Midnights (3am Edition),2022-10-22,260361,66,https://open.spotify.com/track/0aV5uARAknQgYhBaK944FP
Dear Reader,Taylor Swift,Midnights (3am Edition),2022-10-22,225194,63,https://open.spotify.com/track/3QF5RsWzK1lCvf2o2cY65P
Carolina - From The Motion Picture “Where The Crawdads Sing”,Taylor Swift,Carolina (From The Motion Picture “Where The Crawdads Sing”),2022-06-24,264438,63,https://open.spotify.com/track/4axSuOg3BqsowKjRpj59RU
This Love (Taylor’s Version),Taylor Swift,This Love (Taylor’s Version),2022-05-06,250100,65,https://open.spotify.com/track/4d1CG5ei1E2vGbvmgf5KKv
august,Taylor Swift,folklore,2020-07-24,261922,84,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K
Wildest Dreams (Taylor's Version),Taylor Swift,This Love (Taylor’s Version),2022-05-06,220433,48,https://open.spotify.com/track/1IxeJLsubGTboNN9K5XNfL
All Too Well (10 Minute Version) (The Short Film),Taylor Swift,All Too Well (10 Minute Version) (The Short Film),2022-06-11,686022,48,https://open.spotify.com/track/1u4HUiREUR6vX1W1RYG2Tm
The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,The Joker And The Queen (feat. Taylor Swift),2022-02-11,185422,64,https://open.spotify.com/track/6N1K5OVVCopBjGViHs2IvP
Message In A Bottle (Fat Max G Remix) (Taylor’s Version),Taylor Swift,Message In A Bottle (Fat Max G Remix) (Taylor’s Version),2022-01-21,224649,50,https://open.spotify.com/track/3tGq7hWDCtrnL83y5OGual
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,Taylor Swift,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,2021-11-18,598150,59,https://open.spotify.com/track/1n3b9Eekoy3S9ZSZ5DmTW1
Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021-11-12,225960,70,https://open.spotify.com/track/3z6XUommYDWPHeFhmhhT6j
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021-11-12,240226,63,https://open.spotify.com/track/4IQkfUsrwXol38VV3U7t7T
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021-11-12,285106,70,https://open.spotify.com/track/4CkgMiMqZ5JzW9iYXSTMTL
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021-11-12,613026,80,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021-11-12,258812,70,https://open.spotify.com/track/01K4zKU104LyJ8gMb7227B
Forever Winter (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021-11-12,263533,62,https://open.spotify.com/track/3oGVx9RBmiYGv5ZCecWLkx
Babe (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021-11-12,224240,66,https://open.spotify.com/track/0v4z1tuZvn6LGknom9Qx7d
Better Man (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021-11-12,297013,66,https://open.spotify.com/track/4OmFmE0fzcMG6g0Y8p4eSD
The Very First Night (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),2021-11-12,200280,68,https://open.spotify.com/track/6pYNq0ZwpPVazKzsqpf0G8
State Of Grace (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,295413,64,https://open.spotify.com/track/6lzc0Al0zfZOIFsFvBS1ki
Red (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,223093,73,https://open.spotify.com/track/4OAuvHryIVv4kMDNSLuPt6
Treacherous (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,242720,64,https://open.spotify.com/track/3S7HNKPakdwNEBFIVTL6dZ
I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,219760,72,https://open.spotify.com/track/6AtZLIzUINvExIUy4QhdjP
All Too Well (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,329160,71,https://open.spotify.com/track/3nsfB1vus2qaloUdcBZvDu
22 (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,230960,72,https://open.spotify.com/track/3yII7UwgLF6K5zW3xad3MP
I Almost Do (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,244586,64,https://open.spotify.com/track/2r9CbjYgFhtAmcFv1cSquB
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,193146,73,https://open.spotify.com/track/5YqltLsjdqFtvqE7Nrysvs
Stay Stay Stay (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,205786,62,https://open.spotify.com/track/7eQj6r5PIdYKEIZjucBMcq
